-609215	-1050291.89942911
-609376	-1050238.73057249
-609632	-1050090.21756717
-609856	-1050130.27031691
-610259	-1050613.8249309
-610328	-1050908.61175103
-610365	-1051024.27433155
-610479	-1051046.44219537
-610618	-1051062.26914943
-610697	-1051418.83216763
-610555	-1051666.65693046
-610416	-1051909.34742834
-610309	-1051999.53862745
-610282	-1052239.05081242
-610654	-1052696.70918727
-610809	-1052769.77930139
-611533	-1052612.58997853
-612224	-1052335.99206293
-613055	-1052447.57614906
-613596	-1052834.30127124
-614038	-1053020.37725181
-616153	-1053459.48263321
