453060.01	265485.61	57.80
453058.95	265486.13	57.19
453061.74	265483.11	58.53
453060.76	265483.57	59.14
453061.06	265483.01	78.15
453059.64	265484.15	57.55
453058.62	265484.64	57.26
453058.82	265484.17	74.50
453057.58	265485.15	10.00
453056.51	265485.68	56.18
453057.52	265484.62	57.18
453058.55	265484.12	190.33
453059.56	265483.63	57.31
453060.72	265483.03	59.27
453058.44	265483.18	57.21
453057.43	265483.67	57.21
453057.60	265483.23	73.98
453056.51	265483.58	57.03
453057.54	265483.08	150.18
453062.75	265482.62	58.50
453063.05	265481.49	78.63
453061.70	265482.56	58.75
453062.70	265482.08	58.53
453062.61	265481.13	58.94
453061.61	265481.61	20.89
453060.59	265482.09	155.94
453059.48	265482.67	57.52
453058.70	265482.67	75.20
453057.91	265482.49	76.72
453058.94	265481.98	198.09
453058.58	265482.57	57.36
453059.63	265482.06	57.80
453060.72	265481.50	59.00
453061.74	265481.00	145.05
453062.77	265480.50	200.16
453062.48	265479.56	59.45
453062.69	265479.08	178.60
453061.50	265480.03	59.88
453059.78	265480.30	58.21
453060.92	265479.71	144.94
453062.13	265479.07	156.80
453062.55	265477.84	65.61
453061.33	265478.50	27.45
453060.13	265479.13	136.61
453059.04	265479.68	58.72
453057.96	265480.22	57.55
453056.96	265480.70	57.77
453057.33	265480.11	77.33
453056.62	265480.31	166.81
453057.61	265479.83	57.53
453058.71	265479.27	58.72
453059.81	265478.72	59.84
453060.99	265478.09	127.25
453062.22	265477.43	65.80
453063.17	265476.99	64.70
453061.20	265476.95	61.34
453060.10	265477.51	60.12
453059.08	265478.00	60.04
453059.31	265477.52	78.10
453057.92	265478.61	169.88
453056.88	265479.12	57.59
453056.74	265478.61	57.69
453059.16	265477.02	185.07
453057.87	265478.03	123.24
453058.90	265477.53	135.45
453059.96	265477.00	60.11
453057.72	265477.19	179.50
453056.61	265477.76	58.03
453056.76	265477.20	115.88
453108.07	265489.41	72.14
453106.86	265489.20	82.06
453107.31	265489.33	178.13
453108.38	265488.78	68.70
453108.49	265487.81	69.26
453108.04	265487.67	169.56
453107.40	265488.36	67.94
453107.04	265488.14	115.16
453106.51	265488.70	71.67
453105.30	265489.39	67.48
453104.58	265489.09	154.45
453105.62	265488.59	67.45
453107.37	265487.34	84.53
453106.67	265488.08	67.79
453108.42	265486.81	85.28
453107.77	265487.52	69.20
453108.28	265486.15	69.97
453107.91	265485.93	86.29
453107.68	265486.18	25.69
453107.21	265486.68	69.20
453106.74	265486.58	82.99
453106.10	265487.26	67.52
453105.62	265487.17	80.70
453105.12	265487.70	68.94
453104.62	265487.63	81.72
453104.00	265488.27	67.34
453103.15	265488.59	71.39
453102.96	265488.78	178.20
453102.13	265489.08	71.34
453101.94	265489.27	165.15
453100.36	265489.36	72.77
453101.46	265488.80	155.17
453102.34	265488.46	70.70
453103.44	265487.89	72.15
453103.22	265488.12	67.14
453104.44	265487.43	71.28
453105.34	265487.06	68.15
453107.06	265485.84	188.48
453106.37	265486.58	67.72
453108.18	265485.24	86.78
453108.53	265485.48	119.73
453108.36	265484.37	80.85
453107.91	265484.84	156.60
453107.56	265484.61	86.66
453106.85	265485.37	165.16
453105.77	265485.94	67.44
453105.42	265485.71	83.95
453104.79	265486.37	128.97
453103.90	265486.73	72.25
453103.67	265486.96	67.06
453102.85	265487.24	72.01
453102.63	265487.46	67.09
453101.82	265487.73	72.02
453101.60	265487.96	67.09
453100.91	265488.11	5.59
453099.94	265488.53	76.06
453099.77	265488.72	72.32
453098.69	265489.26	71.20
453098.48	265489.47	66.84
453097.95	265489.48	77.07
453097.25	265489.38	68.01
453098.23	265488.93	66.83
453099.72	265487.97	76.73
453100.72	265487.50	76.14
453101.67	265487.08	74.33
453102.87	265486.40	78.59
453102.68	265486.59	74.10
453103.63	265486.18	72.31
453099.09	265487.50	66.84
453098.54	265487.53	77.17
453098.23	265487.83	70.67
453097.36	265488.17	73.93
453097.02	265488.50	66.86
453096.55	265488.46	78.37
453095.98	265489.01	66.58
453093.90	265489.39	66.15
453094.94	265488.88	66.36
453096.54	265487.83	77.91
453095.99	265488.37	90.54
453097.04	265487.84	66.94
453098.20	265487.23	69.45
453099.58	265486.38	76.95
453100.55	265485.94	75.84
453100.34	265486.15	71.16
453101.52	265485.50	74.68
453102.77	265484.77	20.77
453102.51	265485.03	73.66
453103.56	265484.52	74.14
453103.25	265484.84	66.81
453104.95	265483.65	82.57
453104.30	265484.33	67.08
453105.90	265483.24	80.65
453105.42	265483.74	69.08
453106.66	265483.03	73.73
453106.47	265483.23	69.08
453103.25	265483.94	66.90
453102.50	265484.14	73.52
453102.21	265484.45	66.68
453101.51	265484.61	74.16
453100.46	265485.13	73.57
453100.15	265485.44	66.69
453099.31	265485.74	71.04
453099.11	265485.94	66.66
453098.24	265486.28	70.10
453097.55	265486.45	77.39
453097.06	265486.93	66.95
453096.01	265487.44	66.63
453094.96	265487.95	66.34
453093.92	265488.46	66.20
453092.88	265488.97	66.03
453091.84	265489.48	65.81
453091.37	265489.45	76.63
453090.86	265489.28	65.61
453091.91	265488.78	180.86
453092.95	265488.27	66.02
453093.99	265487.76	66.22
453095.03	265487.25	66.27
453096.60	265486.22	77.84
453096.07	265486.74	66.76
453097.38	265485.96	72.68
453098.30	265485.58	70.18
453088.08	265488.67	77.54
453087.41	265489.28	120.09
453088.45	265488.78	65.26
453089.50	265488.27	65.47
453090.54	265487.76	65.72
453091.73	265487.11	68.73
453092.76	265486.61	68.76
453093.68	265486.22	66.37
453096.44	265483.03	76.86
453096.14	265483.33	70.35
453095.97	265483.50	66.62
453094.87	265483.08	66.18
453094.21	265483.22	73.98
453093.84	265483.58	155.18
453092.82	265484.07	66.15
453091.92	265484.44	188.86
453090.82	265485.00	67.45
453089.70	265485.59	65.59
453088.66	265486.09	65.47
453087.62	265486.59	65.38
453087.29	265486.46	78.23
453086.60	265487.09	65.45
453085.55	265487.59	30.25
453084.51	265488.11	169.84
453083.91	265488.22	72.48
453083.47	265488.61	254.77
453082.43	265489.13	64.13
453080.25	265489.48	65.39
453081.18	265489.06	64.02
453082.21	265488.57	277.01
453083.51	265487.82	69.04
453083.26	265488.03	64.55
453084.51	265487.34	68.44
453085.98	265486.45	76.60
453085.36	265487.01	65.28
453086.89	265486.06	74.52
453086.40	265486.50	65.42
453087.43	265486.00	65.48
453088.44	265485.51	65.42
453089.94	265484.58	74.53
453089.48	265485.01	65.58
453090.53	265484.50	65.76
453091.57	265483.99	65.94
453092.98	265483.13	253.69
453092.61	265483.48	66.08
453091.63	265483.07	180.97
453090.60	265483.57	65.92
453090.21	265483.48	78.14
453089.57	265484.07	65.72
453088.53	265484.58	65.56
453088.19	265484.45	78.48
453087.50	265485.07	65.52
453087.06	265485.03	76.66
453086.46	265485.58	65.42
453085.43	265486.08	30.28
453084.40	265486.58	65.26
453084.09	265486.43	78.15
453083.35	265487.09	64.88
453082.63	265487.32	69.95
453082.31	265487.61	15.31
453081.27	265488.12	64.06
453080.25	265488.61	154.01
453079.18	265489.14	63.40
453077.95	265489.12	61.55
453079.08	265488.53	20.31
453080.13	265488.01	64.01
453081.16	265487.51	64.08
453082.20	265487.00	131.33
453083.26	265486.48	64.81
453084.30	265485.96	65.15
453085.88	265484.97	75.27
453085.66	265485.17	71.13
453085.36	265485.45	65.47
453087.00	265484.39	76.98
453086.38	265484.95	65.48
453087.99	265483.91	76.54
453087.42	265484.45	65.51
453088.45	265483.94	65.54
453089.49	265483.44	65.69
453090.54	265482.92	196.95
453088.17	265483.03	65.56
453087.14	265483.53	65.50
453086.10	265484.03	65.38
453085.07	265484.53	65.28
453084.03	265485.03	65.19
453082.99	265485.53	64.93
453081.93	265486.07	64.40
453080.88	265486.58	123.06
453079.83	265487.09	63.52
453078.72	265487.67	62.09
453077.67	265488.19	61.45
453076.64	265488.69	61.44
453075.52	265489.27	59.83
453074.72	265489.03	274.03
453075.77	265488.51	60.38
453076.85	265487.97	61.29
453077.90	265487.45	61.72
453079.54	265486.42	72.04
453079.00	265486.89	62.82
453080.07	265486.36	63.61
453074.38	265487.67	60.05
453075.43	265487.14	60.49
453076.49	265486.62	268.05
453077.56	265486.08	61.76
453078.64	265485.55	265.50
453079.70	265485.02	263.05
453080.81	265484.45	255.51
453081.85	265483.94	269.78
453082.90	265483.42	258.17
453083.94	265482.92	279.22
453081.27	265483.19	64.56
453080.23	265483.69	64.44
453079.19	265484.21	155.08
453078.05	265484.80	196.20
453076.98	265485.34	61.37
453075.96	265485.82	169.60
453074.88	265486.36	208.72
453073.84	265486.88	210.06
453072.79	265487.39	212.75
453071.74	265487.91	59.41
453071.76	265487.53	75.75
453070.71	265488.40	59.32
453069.70	265488.89	59.41
453069.91	265488.36	78.39
453068.91	265489.19	200.05
453066.82	265489.46	68.97
453068.41	265488.50	77.80
453067.58	265489.18	65.26
453067.33	265489.38	61.60
453068.29	265488.93	60.89
453069.21	265488.52	59.23
453070.23	265488.02	59.23
453071.26	265487.52	59.33
453072.31	265487.01	59.66
453073.38	265486.48	178.37
453074.44	265485.95	8.95
453075.46	265485.45	158.08
453076.50	265484.94	61.38
453077.59	265484.40	62.28
453078.65	265483.87	62.84
453079.72	265483.33	63.62
453078.23	265483.18	170.91
453077.37	265483.53	65.81
453076.15	265484.19	62.58
453075.03	265484.77	60.94
453073.99	265485.27	24.77
453072.94	265485.78	60.39
453072.77	265485.57	74.12
453073.62	265484.80	60.50
453074.68	265484.28	61.06
453075.79	265483.71	62.44
453076.81	265483.22	62.42
453074.68	265483.20	61.41
453073.62	265483.72	200.84
453072.59	265484.22	60.83
453072.64	265483.81	78.04
453071.70	265484.59	62.91
453070.79	265485.00	64.67
453070.74	265484.69	79.84
453069.62	265485.62	62.31
453068.40	265486.28	59.22
453068.29	265486.02	73.16
453067.65	265486.55	63.36
453066.59	265487.08	62.39
453066.35	265487.28	58.77
453065.92	265487.28	67.66
453064.89	265487.78	67.30
453064.60	265488.02	63.07
453063.84	265488.31	66.73
453063.77	265487.52	78.67
453063.70	265487.89	63.05
453065.84	265486.49	79.61
453064.41	265487.65	58.46
453065.73	265486.91	62.96
453065.44	265487.15	58.64
453068.80	265485.07	78.98
453067.99	265485.74	66.51
453068.53	265485.64	59.05
453069.85	265484.90	63.65
453070.72	265484.53	61.47
453071.71	265484.06	61.06
453072.70	265483.59	60.56
453073.77	265483.06	61.15
